id|leg|dir|exit_reason|pnl|stopD_pct|MAE_pct|MAE_over_D|MFE_pct
4904|trend_donchian_eth_4h|long|operator_flatten_reconciled|-1.2872|7.098|4.495|0.633|1.921
4922|eth_pullback_2h|long|netting_attributed|-0.2519|0.679|1.669|2.457|4.937
4934|xrp_pullback_2h|long|operator_flatten_reconciled|-2.4509|14.333|9.090|0.634|0.000
5080|ict_scalp_5m|long|netting_attributed|1.144|0.150|0.000|0.000|0.437
5096|ict_scalp_5m|long|tp_cross|4.27417006|0.150|0.485|3.233|1.152
5170|ict_scalp_5m|short|reconciler_filled|6.3028|0.129|0.000|0.000|2.452
5250|trend_donchian_xrp_4h|short|sl|-4.8189|3.484|3.577|1.027|0.268
5312|ict_scalp_5m|short|reconciler_filled|-5.5101|0.639|0.671|1.050|0.244
5316|ict_scalp_5m|short|sl|-5.5013|0.646|0.809|1.252|0.614
5342|trend_donchian_eth_4h|short|reconciler_filled|-1.0126|2.914|2.399|0.823|0.298
5359|xrp_pullback_2h|short|reconciler_filled|-4.4766|3.796|4.047|1.066|0.875
5369|ict_scalp_5m|long|sl|-3.1858|0.471|0.486|1.032|0.257
5403|eth_pullback_2h|short|reconciler_filled|-0.8391|2.839|1.521|0.536|0.414
5409|ict_scalp_5m|long|sl|-2.7469|0.475|0.543|1.144|0.059
5429|ict_scalp_5m|long|sl|-4.2576|0.731|0.770|1.053|0.000
5450|ict_scalp_5m|long|sl|-4.0509|0.796|2.171|2.727|0.322
5461|xrp_pullback_2h|long|netting_attributed|-2.97726|4.034|4.189|1.038|0.282
